year,state,black_prop_vap,black,total_vap
2003,NJ,0.0969749423013518,235300,2426400
2003,NM,0.01564362336114422,10500,671200
2003,NY,0.11056328107705621,549400,4969100
2003,NC,0.15831250274086742,361000,2280300
2003,ND,0.004812981298129813,3500,727200
2003,OH,0.08171397222302429,283000,3463300
2003,OK,0.0542733691642955,51500,948900
2003,OR,0.00904431715405487,9000,995100
2003,PA,0.0633874100621016,231700,3655300
2003,RI,0.03216833958156972,26600,826900
2003,SC,0.21848664156356465,243700,1115400
2003,SD,0.00562429696287964,6000,1066800
2003,TN,0.10580529919618935,177700,1679500
2003,TX,0.08723248773358389,417800,4789500
2003,UT,0.005809731299927378,4800,826200
2003,VT,0.002273696177348302,1600,703700
2003,VA,0.14709225232051526,310600,2111600
2003,WA,0.02191335537745895,39100,1784300
2003,WV,0.019872751551331395,25300,1273100
2003,WI,0.031217897500285356,54700,1752200
2003,WY,0.008545811151583076,6100,713800
2005,AL,0.2009285530049007,701100,3489300
2005,AK,0.01680672268907563,7200,428400
2005,AZ,0.024329109848920366,105800,4348700
2005,AR,0.11315145994150645,236000,2085700
2005,CA,0.048393724769755134,1201200,24821400
2005,CO,0.02420605294894619,84300,3482600
2005,CT,0.06293950813939936,162000,2573900
2005,DE,0.14262214179963809,86700,607900
2005,FL,0.10454242534987208,1458900,13955100
2005,GA,0.22694491330366734,1479000,6517000
2005,HI,0.00904977375565611,8800,972400
2005,ID,0.0026056745801968733,2700,1036200
2005,IL,0.09268616009822778,853000,9203100
2005,IN,0.0550582671845972,260800,4736800
2005,IA,0.009961310979677146,22400,2248700
2005,KS,0.0327517301881275,67200,2051800
2005,KY,0.0532943910558382,169700,3184200
2005,LA,0.23099751680697717,762800,3302200
2005,ME,0.0032633081786661226,3200,980600
2005,MD,0.2165459582948525,891000,4114600
2005,MA,0.04120936443684013,197500,4792600
2005,MI,0.0787554046526433,593800,7539800
2005,MN,0.014892616397554476,57000,3827400
2005,MS,0.29982480231071545,633200,2111900
2005,MO,0.07342130496324369,321600,4380200
2005,MT,0.0019394301059227211,1300,670300
2005,NE,0.02063919907585676,26800,1298500
2005,NV,0.054579145375933516,97200,1780900
2005,NH,0.006485484867201977,6300,971400
2005,NJ,0.09767925181849671,620400,6351400
2005,NM,0.014023105427595727,19300,1376300
2005,NY,0.1079299929183588,1493600,13838600
2005,NC,0.17038759927162553,1113500,6535100
2005,ND,0.0030084235860409147,1500,498600
2005,OH,0.07817642050031068,679400,8690600
2005,OK,0.04575662669009243,119800,2618200
2005,OR,0.010976505139500735,29900,2724000
2005,PA,0.05231104557984486,489600,9359400
2005,RI,0.031977487848554614,25000,781800
2005,SC,0.21964958142719324,705800,3213300
2005,SD,0.0041892127770989706,2400,572900
2005,TN,0.11799539423182366,538000,4559500
2005,TX,0.0894821546909022,1417800,15844500
2005,UT,0.005945588853522311,9900,1665100
2005,VT,0.002836569932358717,1300,458300
2005,VA,0.14894487013102456,837800,5624900
2005,WA,0.0208959711365003,97300,4656400
2005,WV,0.02762898223851142,39200,1418800
2005,WI,0.021259179568735676,90900,4275800
2005,WY,0.0033522434244455906,1300,387800
2006,AL,0.21139488111965177,767300,3629700
